date,fear_greed,vix,spy,qqq,us10y,dxy_uup,gold,oil
2025-05-04,52.8,22.68,560.34,486.48,4.32,26.62,297.98,64.01
2025-05-11,51.8,21.9,557.94,485.62,4.38,26.75,306.84,66.61
2025-05-18,61.9,17.24,587.47,519.0,4.44,26.96,294.24,68.1
2025-05-25,55.6,22.29,572.55,506.79,4.51,26.47,309.75,67.99
2025-06-01,56.5,18.57,582.71,516.61,4.42,26.54,303.6,67.15
2025-06-08,61.5,16.77,592.35,527.37,4.51,26.53,305.18,71.38
2025-06-15,47.1,20.82,590.23,524.42,4.42,26.27,316.29,80.22
2025-06-22,45.7,20.62,589.28,524.29,4.38,26.5,310.13,83.12
2025-06-29,67.7,16.32,609.74,546.06,4.28,26.13,301.22,73.28
2025-07-06,74.3,16.38,620.08,554.16,4.35,26.09,307.14,75.19
2025-07-13,68.7,16.4,618.37,552.15,4.42,26.32,309.14,77.29
2025-07-20,69.6,16.41,622.3,559.18,4.43,26.51,308.39,75.93
2025-07-27,72.0,14.93,631.74,564.27,4.39,26.29,307.4,74.85
2025-08-03,41.6,20.38,616.49,551.83,4.22,26.66,309.11,77.46
2025-08-10,64.3,15.15,631.82,572.42,4.28,26.52,313.05,73.3
2025-08-17,64.2,15.09,638.03,575.2,4.33,26.44,307.43,72.8
2025-08-24,67.5,14.22,639.88,569.85,4.26,26.43,310.58,74.64
2025-08-31,74.5,15.36,639.62,568.29,4.23,26.47,318.07,74.84
2025-09-07,65.6,15.18,641.8,573.93,4.09,26.5,331.05,72.63
2025-09-14,63.6,14.76,651.88,584.49,4.06,26.49,335.42,73.31
2025-09-21,66.4,15.45,659.94,597.13,4.14,26.52,339.18,73.52
2025-09-28,63.9,15.29,658.07,594.45,4.19,26.69,346.74,77.02
2025-10-05,63.1,16.65,665.42,601.65,4.12,26.58,357.64,71.71
2025-10-12,39.7,21.66,649.32,588.0,4.05,26.97,369.12,69.39
2025-10-19,41.2,20.78,660.63,602.39,4.01,26.83,388.99,67.98
2025-10-26,55.8,16.37,673.42,615.53,4.0,26.99,377.52,73.18
2025-11-02,54.7,17.44,678.2,627.47,4.1,27.28,368.12,72.56
